date,manufacturer,carrier,fatalities,location
8/24/1938,Fokker,Japan,58,
2/15/1947,Douglas,Avianca,53,"Subachoque, Colombia"
5/30/1947,Douglas,Eastern Air Lines,53,"Bainbridge, Maryland, US"
6/13/1947,Douglas,Pennsylvania Central Airlines,50,"Shannondale, West Virginia, US"
10/24/1947,Douglas,United Airlines,52,"Bryce Canyon, Utah, US"
8/1/1948,Latécoère,Air,52,
6/7/1949,Curtiss,Strato-Freight,53,"San Juan, Puerto Rico, US"
11/1/1949,Douglas,Eastern Air Lines Flight 537 andBolivian Air,55,"Alexandria, Virginia, US"
3/12/1950,Avro,Fairflight,80,"Sigingstone, Wales, UK"
6/23/1950,Douglas,Northwest Orient Airlines,58,"Lake Michigan, off Benton Harbor, Michigan, US"
7/28/1950,Lockheed,Panair do Brasil,51,"São Leopoldo, Brazil"
8/31/1950,Lockheed,TWA,55,"Wadi Natrun, Egypt"
11/13/1950,Douglas,Curtiss Reid Flying,58,"Grande Tête de l'Obiou mountain, France"
6/30/1951,Douglas,United Airlines,50,"Fort Collins, Colorado, US"
8/24/1951,Douglas,United Airlines,50,"Union City, California, US"
12/16/1951,Curtiss,Miami,56,"Hillside, New Jersey, US"
4/11/1952,Douglas,Pan Am,52,"San Juan, Puerto Rico, US"
4/29/1952,Boeing,Pan Am,50,"Santana do Araguaia, Brazil"
7/12/1953,Douglas,Transocean Air Lines,58,
3/22/1955,Douglas,United States,66,"Waianae Range, Oahu, Hawaii, US"
10/6/1955,Douglas,United Airlines,66,"Medicine Bow Peak, Wyoming, US"
2/18/1956,Avro,Scottish,50,"Żurrieq, Malta"
2/20/1956,Douglas,Transports Aériens,52,"New Cairo, Egypt"
6/20/1956,Lockheed,Linea Aeropostal Venezolana,74,"New York Bight, Atlantic Ocean, area of Jones Beach, New York, US"
6/30/1956,Douglas,United Airlines Flight 718 andTWA,128,"Grand Canyon, Arizona, US"
10/10/1956,Douglas,US,59,"Porcupine Seabight, Atlantic Ocean"
12/9/1956,Canadair,Trans-Canada Air Lines,62,"Slesse Mountain, B.C., Canada"
7/16/1957,Lockheed,KLM,58,"Biak Island, Indonesia"
8/11/1957,Douglas,Maritime Central Airways,79,"Issoudun, Quebec, Canada"
12/8/1957,Douglas,Aerolíneas Argentinas,61,"Bolívar, Argentina"
5/18/1958,Douglas,Sabena,61,"Casablanca, Morocco"
8/14/1958,Lockheed,KLM,99,"Shannon, Ireland"
8/15/1958,Tupolev,Aeroflot,64,"Chita, Russian SFSR, USSR"
10/17/1958,Tupolev,Aeroflot,80,"Vurnarsky District, Chuvash ASSR, Russian SFSR, USSR"
1/16/1959,Curtiss,Austral Líneas Aéreas,51,"Mar del Plata, Argentina"
2/3/1959,Lockheed,American Airlines,65,"East River, New York, US"
6/26/1959,Lockheed,TWA,68,"Busto Arsizio, Italy"
9/24/1959,Douglas,TAI,54,"Mérignac, France"
1/18/1960,Vickers,Capital Airlines,50,"Holdcroft, Virginia, US"
2/5/1960,Douglas,Lloyd Aéreo,59,"Arbieto, Bolivia"
2/25/1960,Douglas,US Navy (131582) andReal Transportes,61,"Guanabara Bay, Brazil"
3/17/1960,Lockheed,Northwest Orient Airlines,63,"Cannelton, Indiana, US"
6/24/1960,Convair,REAL Transportes,54,"Guanabara Bay, Brazil"
8/29/1960,Lockheed,Air France,63,"Yoff, Senegal"
9/19/1960,Douglas,World Airways,80,"Barrigada, Guam, US"
10/4/1960,Lockheed,Eastern Air Lines,62,"Boston, Massachusetts, US"
12/16/1960,Douglas,United Airlines Flight 826 andTWA,134,
2/15/1961,Boeing,Sabena,73,"Brussels, Belgium"
3/28/1961,Ilyushin,ČSA,52,"Gräfenberg, West Germany"
5/30/1961,Douglas,Viasa,61,"Lisboa, Portugal"
7/12/1961,Ilyushin,ČSA,72,"Bouskoura, Morocco"
7/19/1961,Douglas,Aerolíneas Argentinas,67,"Buenos Aires, Argentina"
9/1/1961,Lockheed,TWA,78,"Hinsdale, Illinois, US"
9/10/1961,Douglas,President,83,"Shannon, Ireland"
9/12/1961,Sud,Air France,77,"Rabat, Morocco"
11/8/1961,Lockheed,Imperial Airlines,77,"Richmond, Virginia, US"
11/23/1961,de,Aerolíneas Argentinas,52,"Campinas, Brazil"
12/17/1961,Ilyushin,Aeroflot,59,"Tarasovsky District, Russian SFSR, USSR"
3/1/1962,Boeing,American Airlines,95,"Jamaica Bay, New York, US"
3/4/1962,Douglas,Caledonian Airways,111,"Douala, Cameroon"
3/16/1962,Lockheed,Flying Tiger Line,107,
6/3/1962,Boeing,Air France,130,
6/22/1962,Boeing,Air France,113,"Deshaies, Guadeloupe, West Indies"
7/7/1962,McDonnell,Alitalia,94,"Junnar, India"
7/28/1962,Antonov,Aeroflot,81,"Gagra District, Abkhaz ASSR, Georgian SSR, USSR"
9/3/1962,Tupolev,Aeroflot,86,"Yelabuga, Tatar ASSR, Russian SFSR, USSR"
11/27/1962,Boeing,Varig,97,"San Juan de Miraflores, Peru"
12/14/1962,Lockheed,Panair do,50,"Manaus, Brazil"
2/1/1963,Vickers,Middle East Airlines Flight 265 andTurkish Air,104,"Ankara, Turkey"
4/4/1963,Ilyushin,Aeroflot,67,"Rybno-Slobodsky District, Tatar ASSR, Russian SFSR, USSR"
5/3/1963,Douglas,Air,55,"Mount Cameroon, Cameroon"
6/3/1963,Douglas,Northwest Airlines,101,"Annette Island, Alaska, US"
