TotalDeaths,Carrier,Aircraft,Location,Date
58,Japan,Fokker,,8/24/1938
53,Avianca,Douglas,"Subachoque, Colombia",2/15/1947
53,Eastern Air Lines,Douglas,"Bainbridge, Maryland, US",5/30/1947
50,Pennsylvania Central Airlines,Douglas,"Shannondale, West Virginia, US",6/13/1947
52,United Airlines,Douglas,"Bryce Canyon, Utah, US",10/24/1947
52,Air,Latécoère,,8/1/1948
53,Strato-Freight,Curtiss,"San Juan, Puerto Rico, US",6/7/1949
55,Eastern Air Lines Flight 537 andBolivian Air,Douglas,"Alexandria, Virginia, US",11/1/1949
80,Fairflight,Avro,"Sigingstone, Wales, UK",3/12/1950
58,Northwest Orient Airlines,Douglas,"Lake Michigan, off Benton Harbor, Michigan, US",6/23/1950
51,Panair do Brasil,Lockheed,"São Leopoldo, Brazil",7/28/1950
55,TWA,Lockheed,"Wadi Natrun, Egypt",8/31/1950
58,Curtiss Reid Flying,Douglas,"Grande Tête de l'Obiou mountain, France",11/13/1950
50,United Airlines,Douglas,"Fort Collins, Colorado, US",6/30/1951
50,United Airlines,Douglas,"Union City, California, US",8/24/1951
56,Miami,Curtiss,"Hillside, New Jersey, US",12/16/1951
52,Pan Am,Douglas,"San Juan, Puerto Rico, US",4/11/1952
50,Pan Am,Boeing,"Santana do Araguaia, Brazil",4/29/1952
58,Transocean Air Lines,Douglas,,7/12/1953
66,United States,Douglas,"Waianae Range, Oahu, Hawaii, US",3/22/1955
66,United Airlines,Douglas,"Medicine Bow Peak, Wyoming, US",10/6/1955
50,Scottish,Avro,"Żurrieq, Malta",2/18/1956
52,Transports Aériens,Douglas,"New Cairo, Egypt",2/20/1956
74,Linea Aeropostal Venezolana,Lockheed,"New York Bight, Atlantic Ocean, area of Jones Beach, New York, US",6/20/1956
128,United Airlines Flight 718 andTWA,Douglas,"Grand Canyon, Arizona, US",6/30/1956
59,US,Douglas,"Porcupine Seabight, Atlantic Ocean",10/10/1956
62,Trans-Canada Air Lines,Canadair,"Slesse Mountain, B.C., Canada",12/9/1956
58,KLM,Lockheed,"Biak Island, Indonesia",7/16/1957
79,Maritime Central Airways,Douglas,"Issoudun, Quebec, Canada",8/11/1957
61,Aerolíneas Argentinas,Douglas,"Bolívar, Argentina",12/8/1957
61,Sabena,Douglas,"Casablanca, Morocco",5/18/1958
99,KLM,Lockheed,"Shannon, Ireland",8/14/1958
64,Aeroflot,Tupolev,"Chita, Russian SFSR, USSR",8/15/1958
80,Aeroflot,Tupolev,"Vurnarsky District, Chuvash ASSR, Russian SFSR, USSR",10/17/1958
51,Austral Líneas Aéreas,Curtiss,"Mar del Plata, Argentina",1/16/1959
65,American Airlines,Lockheed,"East River, New York, US",2/3/1959
68,TWA,Lockheed,"Busto Arsizio, Italy",6/26/1959
54,TAI,Douglas,"Mérignac, France",9/24/1959
50,Capital Airlines,Vickers,"Holdcroft, Virginia, US",1/18/1960
59,Lloyd Aéreo,Douglas,"Arbieto, Bolivia",2/5/1960
61,US Navy (131582) andReal Transportes,Douglas,"Guanabara Bay, Brazil",2/25/1960
63,Northwest Orient Airlines,Lockheed,"Cannelton, Indiana, US",3/17/1960
54,REAL Transportes,Convair,"Guanabara Bay, Brazil",6/24/1960
63,Air France,Lockheed,"Yoff, Senegal",8/29/1960
80,World Airways,Douglas,"Barrigada, Guam, US",9/19/1960
62,Eastern Air Lines,Lockheed,"Boston, Massachusetts, US",10/4/1960
134,United Airlines Flight 826 andTWA,Douglas,,12/16/1960
73,Sabena,Boeing,"Brussels, Belgium",2/15/1961
52,ČSA,Ilyushin,"Gräfenberg, West Germany",3/28/1961
61,Viasa,Douglas,"Lisboa, Portugal",5/30/1961
72,ČSA,Ilyushin,"Bouskoura, Morocco",7/12/1961
67,Aerolíneas Argentinas,Douglas,"Buenos Aires, Argentina",7/19/1961
78,TWA,Lockheed,"Hinsdale, Illinois, US",9/1/1961
83,President,Douglas,"Shannon, Ireland",9/10/1961
77,Air France,Sud,"Rabat, Morocco",9/12/1961
77,Imperial Airlines,Lockheed,"Richmond, Virginia, US",11/8/1961
52,Aerolíneas Argentinas,de,"Campinas, Brazil",11/23/1961
59,Aeroflot,Ilyushin,"Tarasovsky District, Russian SFSR, USSR",12/17/1961
95,American Airlines,Boeing,"Jamaica Bay, New York, US",3/1/1962
111,Caledonian Airways,Douglas,"Douala, Cameroon",3/4/1962
107,Flying Tiger Line,Lockheed,,3/16/1962
130,Air France,Boeing,,6/3/1962
113,Air France,Boeing,"Deshaies, Guadeloupe, West Indies",6/22/1962
94,Alitalia,McDonnell,"Junnar, India",7/7/1962
81,Aeroflot,Antonov,"Gagra District, Abkhaz ASSR, Georgian SSR, USSR",7/28/1962
86,Aeroflot,Tupolev,"Yelabuga, Tatar ASSR, Russian SFSR, USSR",9/3/1962
97,Varig,Boeing,"San Juan de Miraflores, Peru",11/27/1962
50,Panair do,Lockheed,"Manaus, Brazil",12/14/1962
104,Middle East Airlines Flight 265 andTurkish Air,Vickers,"Ankara, Turkey",2/1/1963
67,Aeroflot,Ilyushin,"Rybno-Slobodsky District, Tatar ASSR, Russian SFSR, USSR",4/4/1963
55,Air,Douglas,"Mount Cameroon, Cameroon",5/3/1963
101,Northwest Airlines,Douglas,"Annette Island, Alaska, US",6/3/1963
63,United Arab Airlines,de,"Arabian Sea, off Mumbai, India",7/27/1963
80,Swissair,Sud,"Dürrenäsch, Switzerland",9/4/1963
118,Trans-Canada Air Lines,Douglas,"Sainte-Thérèse, Quebec, Canada",11/29/1963
81,Pan Am,Boeing,"Elkton, Maryland, US",12/8/1963
58,Eastern Air Lines,Douglas,"Lake Pontchartrain, Louisiana, US",2/25/1964
83,British Eagle International Airlines,Bristol,"Glungezer mountain, Austria",2/29/1964
