TotalDeaths,date,Date,Year,Month,Carrier,Aircraft,Location
583,3/27/1977,3,1977,3,Pan Am Flight 1736 andKLM,Boeing,"Tenerife, Spain"
520,8/12/1985,8,1985,8,Japan Airlines,Boeing,"Ueno, Japan"
349,11/12/1996,11,1996,11,Saudi Arabian Flight 763 andKazakhstan Airlines,Boeing,"Charkhi Dadri, India"
346,3/3/1974,3,1974,3,Turkish Airlines,McDonnell,"Fontaine-Chaalis, France"
301,8/19/1980,8,1980,8,Saudia,Lockheed,"Riyadh, Saudi Arabia"
273,5/25/1979,5,1979,5,American Airlines,McDonnell,"Des Plaines, Illinois, U.S."
265,11/12/2001,11,2001,11,American Airlines,Airbus,"Belle Harbor, New York City, New York, U.S."
264,4/26/1994,4,1994,4,China Airlines,Airbus,"Komaki, Japan"
261,7/11/1991,7,1991,7,Nigeria Airways,McDonnell,"Jeddah, Saudi Arabia"
257,11/28/1979,11,1979,11,Air New Zealand,McDonnell,"Mount Erebus, Antarctica"
256,12/12/1985,12,1985,12,Arrow Air,McDonnell,"Gander, Newfoundland, Canada"
251,1/8/1996,1,1996,1,Air,Antonov,"Kinshasa, DR Congo (then Zaire)"
239,3/8/2014,3,2014,3,Malaysia Airlines,Boeing,
234,9/26/1997,9,1997,9,Garuda Indonesia,Airbus,"Medan, Indonesia"
230,7/17/1996,7,1996,7,TWA,Boeing,"East Moriches, New York, U.S."
229,9/2/1998,9,1998,9,Swissair,McDonnell,"Peggys Cove, N.S., Canada"
228,8/6/1997,8,1997,8,Korean Air,Boeing,"Asan, Guam, U.S."
228,6/1/2009,6,2009,6,Air France,Airbus,Saint Peter and Saint Paul Archipelago
225,5/25/2002,5,2002,5,China Airlines,Boeing,"Taiwan Strait, near Penghu Islands, Taiwan"
223,5/26/1991,5,1991,5,Lauda Air,Boeing,"Phu Toei National Park, Thailand"
217,10/31/1999,10,1999,10,EgyptAir,Boeing,"Nantucket, Massachusetts, U.S."
213,1/1/1978,1,1978,1,Air India,Boeing,"Arabian Sea, off Mumbai, India"
203,2/16/1998,2,1998,2,China Airlines,Airbus,"Dayuan District, Taiwan"
200,7/10/1985,7,1985,7,Aeroflot,Tupolev,"Uchkuduk, Uzbek SSR, USSR"
199,7/17/2007,7,2007,7,TAM Airlines,Airbus,"SÃ£o Paulo, Brazil"
191,12/4/1974,12,1974,12,Martinair Holland,Douglas,"Maskeliya, Sri Lanka"
189,2/6/1996,2,1996,2,Birgenair,Boeing,"Puerto Plata, Dominican Republic"
189,10/29/2018,10,2018,10,Lion Air,Boeing,"Java Sea, off Tanjungbungin, Karawang Regency, Indonesia"
188,8/3/1975,8,1975,8,Alia Royal,Boeing,"Tamri, Morocco"
183,11/15/1978,11,1978,11,Icelandic Airlines,Douglas,"Katunayake, Sri Lanka"
183,5/9/1987,5,1987,5,LOT,Ilyushin,"Warsaw, Poland"
181,11/27/1983,11,1983,11,Avianca,Boeing,"Madrid, Spain"
180,12/1/1981,12,1981,12,Inex-Adria Aviopromet,McDonnell,"Petreto-Bicchisano, Corsica, France"
178,8/11/1979,8,1979,8,Aeroflot/Moldovia flight 7628 and Aeroflot,Tupolev,"Dniprodzerzhynsk, Ukrainian SSR, USSR"
178,10/11/1984,10,1984,10,Aeroflot,Tupolev,"Omsk, Russian SFSR, USSR"
176,1/22/1973,1,1973,1,Nigeria,Boeing,"Kano, Nigeria"
176,9/10/1976,9,1976,9,British Airways Flight 476 andInex Adria,Hawker,"Vrbovec, SR Croatia, Yugoslavia"
176,6/7/1989,6,1989,6,Surinam Airways,Douglas,"Paramaribo, Surinam"
174,10/13/1972,10,1972,10,Aeroflot,Ilyushin,
170,8/22/2006,8,2006,8,Pulkovo,Tupolev,
169,1/30/2000,1,2000,1,Kenya Airways,Airbus,Gulf of Guineaoff CÃ´te d'Ivoire
168,7/15/2009,7,2009,7,Caspian Airlines,Tupolev,"Qazvin, Iran"
167,3/31/1986,3,1986,3,Mexicana,Boeing,"Sierra Madre Oriental Mts., Mexico"
167,9/28/1992,9,1992,9,Pakistan International Airlines,Airbus,"Kathmandu, Nepal"
166,7/8/1980,7,1980,7,Aeroflot,Tupolev,"Almaty, Kazakh SSR, USSR"
162,7/30/1971,7,1971,7,All Nippon Airways Flight 58,Boeing,"Shizukuishi, Japan"
162,12/28/2014,12,2014,12,Indonesia AirAsia,Airbus,"Karimata Strait, between Belitung and Borneo, Java Sea, Indonesia"
160,6/6/1994,6,1994,6,China Northwest Airlines,Tupolev,"Xian, China"
160,8/16/2005,8,2005,8,West Caribbean Airways,McDonnell,"Machiques, Venezuela"
159,11/28/1987,11,1987,11,South African Airways,Boeing,Mauritius
159,12/20/1995,12,1995,12,American Airlines,Boeing,"Buga, Colombia"
159,6/3/2012,6,2012,6,Dana Air,McDonnell,"Lagos, Nigeria"
158,5/22/2010,5,2010,5,Air India Express,Boeing,"Mangalore, India"
157,12/22/1992,12,1992,12,Libyan Arab Airlines Flight 1103 andLibyan,Boeing,"Qasr bin Ghashir, Tripoli, Libya"
157,3/10/2019,3,2019,3,Ethiopian Airlines,Boeing,"Bishoftu, Ethiopia"
156,8/14/1972,8,1972,8,Interflug,Ilyushin,"KÃ¶nigs Wusterhausen, East Germany"
156,11/26/1979,11,1979,11,Pakistan International Airlines,Boeing,"Taif, Saudi Arabia"
156,8/16/1987,8,1987,8,Northwest Airlines,McDonnell,"Romulus, Michigan, U.S."
155,3/16/1969,3,1969,3,Viasa,McDonnell,"Maracaibo, Venezuela"
155,12/3/1972,12,1972,12,Spantax,Convair,"San CristÃ³bal, Tenerife, Canary Islands, Spain"
154,9/19/1976,9,1976,9,Turkish Airlines,Boeing,"Isparta, Turkey"
154,9/29/2006,9,2006,9,Gol Transportes AÃ©reos Flight 1907 and,Boeing,"Peixoto Azevedo, Brazil"
154,8/20/2008,8,2008,8,Spanair,McDonnell,"Madrid, Spain"
153,7/9/1982,7,1982,7,Pan Am,Boeing,"Kenner, Louisiana, US"
152,6/30/2009,6,2009,6,Yemenia,Airbus,"Mozambique Channel off Mitsamiouli, Comoros"
152,7/28/2010,7,2010,7,Airblue,Airbus,"Islamabad, Pakistan"
150,9/3/1989,9,1989,9,Cubana de AviaciÃ³n,Ilyushin,"Havana, Cuba"
150,3/24/2015,3,2015,3,Germanwings,Airbus,"near French Alps, France"
149,5/4/2002,5,2002,5,EAS Airlines,BAC,"Kano, Nigeria"
149,9/5/2005,9,2005,9,Mandala Airlines,Boeing,"Medan, Indonesia"
148,2/19/1985,2,1985,2,Iberia Airlines,Boeing,"Oiz mountain, Spain"
148,1/3/2004,1,2004,1,Flash Airlines,Boeing,"Red Sea, off Sharm el-Sheikh, Egypt"
146,4/25/1980,4,1980,4,Dan-Air,Boeing,"Tenerife, Canary Islands, Spain"
145,7/4/2001,7,2001,7,Vladivostok Air,Tupolev,"Irkutsk, Russia"
144,9/25/1978,9,1978,9,PSA Flight 182 andPrivate,Boeing,"San Diego, California, US"
144,2/8/1989,2,1989,2,Independent Air,Boeing,"Pico Alto Mtn., Azores, Portugal"
144,11/7/1996,11,1996,11,ADC Airlines,Boeing,"Lagos State, Nigeria"
143,3/17/1988,3,1988,3,Avianca,Boeing,"Sardinata, Colombia"
143,8/23/2000,8,2000,8,Gulf Air,Airbus,"Persian Gulf, off Al Muharraq, Bahrain"
141,11/24/1992,11,1992,11,China Southern Airlines,Boeing,"Yanshan District, China"
141,12/18/1995,12,1995,12,Trans Service,Lockheed,"Jamba, Cuando Cubango, Angola"
141,8/29/1996,8,1996,8,Vnukovo Airlines,Tupolev,"Svalbard, Norway"
141,12/25/2003,12,2003,12,UTAGE,Boeing,"Cotonou, Benin"
137,6/8/1982,6,1982,6,VASP,Boeing,"Pacatuba, Brazil"
137,8/2/1985,8,1985,8,Delta Air Lines,Lockheed,"Dallasâ€“Fort Worth, Texas, US"
134,12/16/1960,12,1960,12,United Airlines Flight 826 andTWA,Douglas,
133,2/4/1966,2,1966,2,All Nippon Airways,Boeing,"Tokyo Bay, Japan"
133,10/19/1988,10,1988,10,Indian Airlines,Boeing,"Ahmedabad, India"
132,6/28/1982,6,1982,6,Aeroflot,Yakovlev,"Mazyr, Byelorussian SSR, USSR"
132,5/19/1993,5,1993,5,SAM Colombia,Boeing,"MedellÃ­n, Colombia"
132,9/8/1994,9,1994,9,US Air,Boeing,"Aliquippa, Pennsylvania, US"
131,11/19/1977,11,1977,11,TAP Portugal,Boeing,"Santa Cruz, Madeira"
131,10/21/1989,10,1989,10,Tan-Sahsa,Boeing,"Tegucigalpa, Honduras"
131,4/19/2000,4,2000,4,Air Philippines,Boeing,"Samal, Philippines"
130,11/8/1983,11,1983,11,TAAG Angola,Boeing,"Lubango, Angola"
129,12/24/1966,12,1966,12,Flying Tiger,Canadair,"Da Nang, Vietnam"
129,4/15/2002,4,2002,4,Air China,Boeing,"Busan, South Korea"
128,6/30/1956,6,1956,6,United Airlines Flight 718 andTWA,Douglas,"Grand Canyon, Arizona, US"
